节点分类	节点名称	核心功能描述	关键参数（类型 / 作用）	典型应用场景
Leaf::Action	ActionDie	控制实体执行死亡动作，含动画播放、状态切换	Command（Serializable/Delegate，死亡逻辑核心指令）	游戏角色生命值清零后播放死亡动画、机器人故障 “停机”
Leaf::Action	ActionDroneMove	控制无人机基础移动（直线、跟随等）	1. Move Type（Enum，选择移动模式）；2. Target（Object，移动目标对象）；3. Movement Target（Vector，目标坐标）；4. Tolerance Radius（Float，到达误差范围）	无人机游戏任务点移动、工业巡检坐标遍历
Leaf::Action	ActionDroneMoveSpline	控制无人机沿预设样条曲线移动	1. Command（Serializable，移动指令标识）；2. Spline（NodeRef，样条曲线路径）	无人机固定航线巡逻、复杂轨迹飞行
Leaf::Action	ActionDynamicMove	实体根据实时环境动态调整移动路径（避障、跟目标）	1. Move Type（Enum，移动模式）；2. Target Position（Vector，目标坐标）；3. Ignore Navigation（Bool，是否忽略导航）；4. Rotate Entity（Bool，移动时是否旋转朝向）	角色追逐移动敌人、机器人避开突发障碍物
Leaf::Action	ActionMove	实体通用移动（指定位置、跟随对象）	1. Movement Target（Vector，目标坐标）；2. Movement Type（Enum，移动模式）；3. Tolerance（Float，到达误差）；4. Ignore Restricted Area（Bool，是否忽略限制区域）	角色前往任务点、机器人基础位置移动
Leaf::Action	ActionMoveOnSpline	实体沿预设样条曲线移动（巡逻、赛道行驶）	1. Spline（NodeRef，样条曲线）；2. Reverse（Bool，是否反向移动）；3. Is Infinite（Bool，是否无限循环）；4. Snap To Terrain（Bool，是否贴地）	地面单位固定路线巡逻、赛车沿赛道行驶
Leaf::Action	ActionMoveToSmartObject	实体移动到智能对象旁，为交互做准备	1. Smart Object Id（数值，智能对象唯一标识）；2. Forced Entry Animation（字符串，到达触发动画）；3. Tolerance（Float，到达误差）	角色移动到可交互门、宝箱旁准备操作
Leaf::Action	ActionMoveToWorkspot	实体移动到指定工作点（椅子、工具台等）	1. Workspot Setup（对象，工作点配置）；2. Spot Reservation（Bool，是否预留点位）；3. Fast Forward After Teleport（Bool，传送后是否快进）	NPC 移动到工具台作业、角色前往椅子就坐
Leaf::Action	ActionMoveWithPolicy	实体按预设策略移动（潜行、冲刺等）	1. Command（Serializable，策略指令标识）；2. Stop When Destination Reached（Bool，到达后是否停止）	角色潜行接近敌人、机器人节能模式移动
Leaf::Action::ActionRotateBase	ActionRotateToObject	实体旋转朝向指定对象	1. Target（Object，目标对象）；2. Angle Offset（Float，角度偏移）；3. Speed（Float，旋转速度）；4. Angle Tolerance（Float，角度误差范围）	角色转向敌人、机器人朝向交互道具
